HudongItem1,relation,HudongItem2
士,said to be the same as,史
士,said to be the same as,Sa
淡水河,instance of,河流
北盘江,instance of,河流
燕隼,taxon rank,种
2B,sport,棒球
灯心草属,taxon rank,属
海南杜鹃,taxon rank,种
夏天,country of origin,英国
北盘江,mouth of the watercourse,西江
IRL,language used,英语
乙草胺,instance of,除草剂
炎黄,country,中华人民共和国
灯心草属,parent taxon,灯心草科
夏天,original language of work,英语
北盘江,country,中华人民共和国
IRL,language used,英语
乙草胺,instance of,化合物
燕雀,taxon rank,种
沙芥,taxon rank,种
灯心草属,has fruit type,蒴果
顺电,country,中华人民共和国
胆绿素,instance of,化合物
吕梁山,instance of,山脉
雅砻江,instance of,河流
胆绿素,instance of,杂环化合物
吕梁山,country,中华人民共和国
雅砻江,origin of the watercourse,巴颜喀拉山脉
Delphinium,taxon rank,属
WL,country,美国
湖北山楂,taxon rank,种
Lem,sex or gender,男性
读书人,instance of,专业
石龙坝水电站,instance of,水电站
胆绿素,has part,氮
雅砻江,mouth of the watercourse,长江
Delphinium,parent taxon,毛茛科
湖北山楂,parent taxon,山楂
Lem,country of citizenship,波兰
处理器,subclass of,产品
西黄松,taxon rank,种
大花夏枯草,taxon rank,种
读书人,subclass of,哲学家
椋鸟科,taxon rank,科
石龙坝水电站,country,中华人民共和国
斯特拉顿,country,美国
胆绿素,has part,碳
Delphinium,has fruit type,蓇葖果
日耳曼尼亚志,instance of,图书
柏木,instance of,姓氏
649年,instance of,年
饶州,instance of,州
处理器,use,电子计算机
椋鸟科,parent taxon,雀形目
石龙坝水电站,located in the administrative territorial entity,西山区
雅砻江,continent,亚洲
纠纷,subclass of,事件
柏木,language of work or name,日语
湖北百合,taxon rank,种
饶州,country,中华人民共和国
雅砻江,country,中华人民共和国
Lem,place of death,克拉科夫
湖北百合,parent taxon,百合属
椋鸟科,Code of nomenclature,国际动物命名法规
Lem,cause of death,心血管疾病
夏天,color,彩色
日耳曼尼亚志,author,塔西佗
纠纷,subclass of,相互作用
柏木,different from,柏木
649年,followed by,650年
雅砻江,watershed,长江流域
日耳曼尼亚志,language of work or name,拉丁语
Lem,languages spoken written or signed,英语
俄亥俄河,instance of,河流
柠檬黄,instance of,化合物
Lem,occupation,哲学家
俄亥俄河,mouth of the watercourse,密西西比河
石斛,taxon rank,种
Robin,language of work or name,英语
锥形瓶,subclass of,烧瓶
欧氏距离,instance of,度量
1255年,instance of,年
米线,subclass of,中国面条
加查县,instance of,县
光学仪器,field of work,光学
巴倍虫属,taxon rank,属
Euphoria,taxon rank,属
米线,country,中华人民共和国
葎草,taxon rank,种
狐毛,sex or gender,男性
加查县,country,中华人民共和国
柠檬黄,has part,碳
Robin,writing system,拉丁文字
雪山工程,basin country,澳大利亚
Amazon,instance of,河流
修士,instance of,专业
隋书,instance of,图书
1255年,follows,1254年
米线,country of origin,中华人民共和国
雪山工程,country,澳大利亚
洋流,part of,海洋
袁世凯,sex or gender,男性
隋书,series,二十四史
Robin,family name identical to this given name,Robin
frequency,instance of,标量
上海人,instance of,族群
徙,instance of,族群
主意,subclass of,概念
别名,subclass of,代号
Amazon,mouth of the watercourse,大西洋
洋流,part of,海
袁世凯,country of citizenship,清朝
玉林,sex or gender,男性
蓝翡翠,taxon rank,种
frequency,measured by,赫兹
主意,part of,思维
修士,different from,兄弟
主意,said to be the same as,概念
Amazon,tributary,塔帕若斯河
袁世凯,family name,袁
俄亥俄河,country,美国
巴伐利亚,country,德国
俄亥俄河,located in the administrative territorial entity,俄亥俄州
别名,said to be the same as,称谓
袁世凯,place of death,北京市
巴伐利亚,country,西德
袁世凯,cause of death,尿毒症
玉林,ethnic group,满族
巴伐利亚,capital,慕尼黑
巴伐利亚,located in the administrative territorial entity,德国
巴伐利亚,located in the administrative territorial entity,西德
IRL,shares border with,英国
Amazon,continent,南美洲
Amazon,country,秘鲁
Lem,residence,克拉科夫
Amazon,country,哥伦比亚
IRL,driving side,左
Amazon,country,巴西
亚拉巴马州,shares border with,佛罗里达州
Amazon,country,厄瓜多尔
袁世凯,position held,宰相
亚拉巴马州,shares border with,田纳西州
袁世凯,position held,军机大臣
亚拉巴马州,shares border with,密西西比州
袁世凯,member of political party,共和党
忠县,instance of,县
75,instance of,年
大官湖,instance of,湖泊
袁世凯,ethnic group,汉族
梅克,sex or gender,男性
蓝果树,taxon rank,种
忠县,country,中华人民共和国
卡拉汉,country,美国
米团花,taxon rank,种
红翅绿鸠,taxon rank,种
大官湖,country,中华人民共和国
色胺,instance of,化合物
DDS,instance of,化合物
梅克,country of citizenship,德国
忠县,located in the administrative territorial entity,重庆市
卡拉汉,located in the administrative territorial entity,佛罗里达州
莲属,taxon rank,属
Spirochaeta,taxon rank,属
翠柏属,taxon rank,属
Lome,country,埃塞俄比亚
幌伞枫,taxon rank,种
北京条约,instance of,契约
所有权,subclass of,法律
莲属,parent taxon,莲科
拉贾斯坦邦,continent,亚洲
紫辫鱼,taxon rank,种
吕宋岛,country,菲律宾
北京条约,country,中华人民共和国
莲属,has fruit type,核果
Spirochaeta,Gram staining,革兰氏阴性菌
翠柏属,parent taxon,柏科
拉贾斯坦邦,country,印度
吕宋岛,located in the administrative territorial entity,菲律宾
北京条约,country,俄罗斯
DDS,subclass of,砜
吕宋岛,located in or next to body of water,太平洋
北京条约,located in the administrative territorial entity,北京市
莲属,different from,睡莲属
拉贾斯坦邦,located in the administrative territorial entity,印度
梅克,sport,足球
拉贾斯坦邦,office held by head of government,省长
拉贾斯坦邦,shares border with,旁遮普邦
拉贾斯坦邦,shares border with,哈里亚纳邦
色胺,has part,氮
拉贾斯坦邦,shares border with,北方邦
色胺,has part,碳
拉贾斯坦邦,shares border with,中央邦
巴伐利亚,public holiday,新年
救济,subclass of,外援
地层学,part of,地质学
香椿球针壳,taxon rank,种
普列汉诺夫,sex or gender,男性
裸藻门,taxon rank,亚门
渥丹,taxon rank,种
罗马法,subclass of,法律
Morris,instance of,姓氏
Barclay,instance of,姓氏
1693年,instance of,年
university,part of,高等教育
裸藻门,taxon rank,纲
渥丹,parent taxon,百合属
巴伐利亚,public holiday,圣诞节
麂,taxon rank,属
Morris,language of work or name,英语
Barclay,writing system,拉丁文字
1691年,instance of,年
水母,instance of,俗名
Morris,writing system,拉丁文字
Barclay,different from,Barclay
1693年,follows,1692年
格里,sex or gender,男性
石环,country,中华人民共和国
Morris,different from,莫里斯
1693年,followed by,1694年
老君,instance of,神
格里,country of citizenship,加拿大
1691年,follows,1690年
石环,located in the administrative territorial entity,香港
太政官,country,日本
老君,country,中华人民共和国
咳血,subclass of,痰
偃师县,country,中华人民共和国
地区,country,中华人民共和国
格里,country of citizenship,美国
1691年,followed by,1692年
糖化酶,instance of,酶
格里,given name,Frank
新华社,country,中华人民共和国
鲻科,taxon rank,科
政府财政,has part,政治经济学
格里,place of birth,多伦多
普列汉诺夫,languages spoken written or signed,俄语
瑞,instance of,城市
海派,instance of,文化
豆奶,subclass of,代乳品
闽侯县,instance of,县
新华社,language of work or name,汉语
奥匈帝国,instance of,帝国
政府财政,has part,环境经济学
格里,languages spoken written or signed,英语
普列汉诺夫,occupation,哲学家
粉状叉丝壳,taxon rank,种
瑞,country,美国
闽侯县,country,中华人民共和国
格里,occupation,建筑师
IGS,instance of,疾病
造型艺术,instance of,艺术风格
粉状叉丝壳,parent taxon,白粉菌属
闽侯县,located in the administrative territorial entity,福州市
新华社,headquarters location,北京市
政府财政,has part,政治
波纹鳜,taxon rank,种
丹尼,sex or gender,男性
豆奶,country of origin,中华人民共和国
格里,employer,哥伦比亚大学
格雷厄姆,instance of,城市
柳江,instance of,河流
CST,instance of,时区
丹尼,country of citizenship,西班牙
GUC,country,美国
豆奶,has part,大豆
奥匈帝国,continent,欧洲
普列汉诺夫,occupation,历史学家
格雷厄姆,country,美国
柳江,mouth of the watercourse,黔江
长岛大学,country,美国
brilliant,material used,钻石
御谷,taxon rank,种
丹尼,given name,丹尼尔
奥匈帝国,country,奥匈帝国
三甲胺,instance of,化合物
肚脐,part of,腹
柳江,country,中华人民共和国
御谷,parent taxon,狼尾草属
IGS,drug used for treatment,叶酸
普列汉诺夫,occupation,经济学家
discus,sport,铁饼
梅花参,taxon rank,种
奥匈帝国,capital,布达佩斯
554,instance of,年
cavus,instance of,地形
美感,subclass of,哲学
御谷,this taxon is source of,millet
奥匈帝国,located in or next to body of water,亚得里亚海
巴伐利亚,sister city,山东省
浙贝母,taxon rank,种
cavus,subclass of,组
巴伐利亚,sister city,魁北克
1487年,instance of,年
感知器,instance of,算法
角鲨烯,instance of,化合物
三甲胺,has part,氮
Clifford,language of work or name,英语
集体,subclass of,组织
角鲨烯,found in taxon,智人
554,followed by,555年
三甲胺,has part,碳
丹尼,languages spoken written or signed,西班牙语
奥匈帝国,located in or next to body of water,多瑙河
戈尔登,instance of,城市
Clifford,writing system,拉丁文字
1487年,follows,1486年
角鲨烯,has part,碳
奥匈帝国,located in or next to body of water,莱茵河
巴伐利亚,sister city,圣保罗州
Agent,subclass of,计算机程序
戈尔登,country,美国
蓝马鸡,taxon rank,种
阁下,sex or gender,男性
长柱柳,taxon rank,种
Clifford,family name identical to this given name,Clifford
nana,has quality,女性
巴伐利亚,sister city,广东省
Bulgarian,instance of,语言
IDS,instance of,基因
永光,instance of,年号
阁下,country of citizenship,意大利
长柱柳,parent taxon,柳树
Clifford,different from,Clifford
巴伐利亚,sister city,卡纳塔克邦
Cocos,taxon rank,属
孔宜,sex or gender,男性
nana,opposite of,孙
蝶恋花,instance of,词牌
Haviland,instance of,城市
海南行政区,country,中华人民共和国
IDS,found in taxon,智人
孔宜,family name,孔
奥匈帝国,located in or next to body of water,维斯瓦河
Andersen,writing system,拉丁文字
Haviland,country,美国
碎米莎草,taxon rank,种
Bulgarian,country,保加利亚
Andersen,different from,Andersen
De,language of work or name,西班牙语
Bulgarian,country,乌克兰
少年时代,country of origin,美国
Messenger,country of origin,美国
Bulgarian,country,塞尔维亚
少年时代,original language of work,英语
Messenger,original language of work,英语
Andersen,said to be the same as,Anderson
阁下,native language,法语
Bulgarian,country,希腊
Andersen,said to be the same as,Anderson
Bulgarian,country,土耳其
阁下,languages spoken written or signed,拉丁语
阁下,languages spoken written or signed,法语
Bulgarian,country,阿尔巴尼亚
阁下,occupation,推官
格里,military branch,美国陆军
巴伐利亚,shares border with,捷克
Bulgarian,country,俄罗斯
Bulgarian,located in the administrative territorial entity,巴尔干半岛
丹尼,sport,足球
阁下,position held,president
Messenger,filming location,新泽西州
少年时代,narrative location,得克萨斯州
阁下,religion,天主教
涿郡,instance of,郡
Messenger,color,彩色
阁下,sport,足球
中华豆蟹,taxon rank,种
田间,sex or gender,男性
南洋杉科,taxon rank,科
剪刀股,taxon rank,种
经济法,part of,法律
少年时代,color,彩色
阁下,sport,拳击
永平府,instance of,府
1916年,instance of,年
玉米片,subclass of,菜肴
万县地区,country,中华人民共和国
南洋杉科,parent taxon,松柏目
1916年,instance of,闰年
玉米片,country,美国
寄生蜂,taxon rank,亚目
无为县,instance of,县
秋季,instance of,季节
玉米片,country of origin,美国
寄生蜂,parent taxon,细腰亚目
后人,genre,小说
阁下,sport,田径
无为县,country,中华人民共和国
大米草,taxon rank,种
中山植物园,country,中华人民共和国
